economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
TUN,2017,8.986045690927,31.7122192382812,3619.03247319953,11650498.0,990.0,8.49749083687238,8.52541115305462,31.9376643471752,3847.80354448809,0.0,0.3508075238391253,8.25551761131812,2.2510276412855355,0
TUN,2018,9.88852551876126,31.4514759727491,3628.10366464236,11765514.0,3368.0,28.626033677746673,8.986045690927,31.7122192382812,3619.03247319953,8.49749083687238,3.183304469463252,8.19423827527669,3.388653490922418,0
TUN,2019,9.76625873287072,31.1793617423969,3528.87213306798,11875081.0,32.0,0.26947184612888114,9.88852551876126,31.4514759727491,3628.10366464236,28.626033677746673,12.374508171539683,8.196740972427115,0.23860094478306904,0
TUN,2020,10.3917002295357,30.8956833561524,3548.65363663803,11974057.0,10000.0,83.51388338973165,9.76625873287072,31.1793617423969,3528.87213306798,0.26947184612888114,12.464332120249312,8.169016926344359,4.4369158213374815,0
TUN,2021,10.0900379034943,30.6002476229432,3906.93926319391,12048622.0,1204.0,9.992843994939836,10.3917002295357,30.8956833561524,3548.65363663803,83.51388338973165,37.469796304535734,8.17460531056526,2.3972445151869994,0
TUN,2022,10.8217247722212,30.292861351697,3707.29283414381,12119334.0,2032.0,16.766597900511695,10.0900379034943,30.6002476229432,3906.93926319391,9.992843994939836,31.258733076933453,8.270765471382205,2.8773201719809096,0
TUN,2023,9.47367928951245,29.9733313513416,3951.11683376921,12200431.0,2640.0,21.63857981738514,10.8217247722212,30.292861351697,3707.29283414381,16.766597900511695,36.75777509506106,8.218326897176937,3.1196555224533578,0
TUR,2011,8.1265846445357,28.9971276471666,11373.6355760885,74223629.0,0.0,0.0,8.90737962747164,30.6528746058513,10698.9699409757,0.2734401436107634,0.2734401436107634,9.277996211191445,0.0,0
TUR,2012,7.658344974583,26.2211319765676,11776.7593362033,75175827.0,0.0,0.0,8.1265846445357,28.9971276471666,11373.6355760885,0.0,0.1367200718053817,9.339141206039002,0.0,0
TUR,2013,6.64997261417217,21.4781631615304,12635.5570016068,76147624.0,0.0,0.0,7.658344974583,26.2211319765676,11776.7593362033,0.0,0.09114671453692114,9.3739682299627,0.0,0
TUR,2014,6.53828042868413,16.3975149255567,12209.3862327674,77181884.0,0.0,0.0,6.64997261417217,21.4781631615304,12635.5570016068,0.0,0.0,9.44434924148281,0.0,0
TUR,2015,6.87689834308907,12.7832892027463,11064.6494504662,78218479.0,1500.0,1.9177054056497316,6.53828042868413,16.3975149255567,12209.3862327674,0.0,0.0,9.410042199099736,1.0707974873788522,0
TUR,2016,6.26556196399699,11.8979041418224,10984.3643169061,79277962.0,200.0,0.2522769190257439,6.87689834308907,12.7832892027463,11064.6494504662,1.9177054056497316,0.6392351352165772,9.311600944885285,0.2249634295513889,0
TUR,2017,6.19642323537778,11.9679527282714,10756.3877677883,80312698.0,0.0,0.0,6.26556196399699,11.8979041418224,10984.3643169061,0.2522769190257439,0.7233274415584918,9.304319149212425,0.0,0
TUR,2018,6.00418639185492,11.8344250423827,9684.11819884721,81407204.0,628.0,0.771430498951911,6.19642323537778,11.9679527282714,10756.3877677883,0.0,0.7233274415584918,9.283348031731379,0.5717874116731001,0
TUR,2019,6.6541535628227,11.3381847142876,9395.23378001368,82579440.0,528.0,0.6393843310150807,6.00418639185492,11.8344250423827,9684.11819884721,0.771430498951911,0.3412358059925516,9.17834578008745,0.49432076343528053,0
TUR,2020,6.89122590909685,11.0696885034778,8798.11791709313,83384680.0,1226.0,1.4702940636097663,6.6541535628227,11.3381847142876,9395.23378001368,0.6393843310150807,0.47027160998899725,9.148064226271078,0.9043371976465325,0
TUR,2021,5.70488171636816,10.8237951846761,9981.76398411336,84147318.0,84446.0,100.35495130100284,6.89122590909685,11.0696885034778,8798.11791709313,1.4702940636097663,0.9603696311922527,9.082406758748302,4.618628725192657,0
TUR,2022,6.69360961922604,10.9618835449219,10897.8397861365,84979913.0,5831.0,6.861621522253147,5.70488171636816,10.8237951846761,9981.76398411336,100.35495130100284,34.15487656520923,9.208615283277265,2.0619928857051977,0
TUR,2023,6.38984597795627,10.9781553203879,13375.0947282864,85325965.0,5641.0,6.611117729521137,6.69360961922604,10.9618835449219,10897.8397861365,6.861621522253147,36.228955628955255,9.29641162091307,2.0296100375037023,0
TZA,2011,24.9768644460885,71.134273594457,775.392761230469,46029367.0,22000.0,47.79557363889015,25.582406886144,71.8031046060895,736.530151367188,0.0,0.0,6.603306970588026,3.8876396046241304,0
TZA,2012,26.5509265207861,70.5121235402089,861.969909667969,47374260.0,10000.0,21.10850913555167,24.9768644460885,71.134273594457,775.392761230469,47.79557363889015,23.897786819445074,6.65465852774607,3.09596256317715,0
TZA,2013,26.7908679172376,69.9274891217498,963.05712890625,48824128.0,0.0,0.0,26.5509265207861,70.5121235402089,861.969909667969,21.10850913555167,22.968027591480606,6.760379823346899,0.0,0
TZA,2014,25.8025774475571,69.3556922829258,1022.74841308594,50351512.0,13650.0,27.1094143111333,26.7908679172376,69.9274891217498,963.05712890625,0.0,22.968027591480606,6.8711505552054835,3.336104549096015,0
TZA,2015,26.745885729563,68.7938433407528,939.127319335938,52020962.0,3500.0,6.728057047464828,25.8025774475571,69.3556922829258,1022.74841308594,27.1094143111333,16.07264114889499,6.931226085066874,2.044857478801297,0
TZA,2016,27.4441425717754,68.2422696757084,953.0107421875,53824013.0,25800.0,47.933995556964504,26.745885729563,68.7938433407528,939.127319335938,6.728057047464828,11.27915711953271,6.846015312194116,3.890472360601206,0
TZA,2017,28.7534809528128,67.7012986682704,986.674011230469,55652890.0,1890.0,3.3960500523872166,27.4441425717754,68.2422696757084,953.0107421875,47.933995556964504,27.257155638520874,6.860674931539504,1.4807064223699176,0
